,PC1,PC2,PC3,status,name,label
0,0.2287081226966136,0.2718286603087321,-0.20606733718600978,me,Breakdown,like
1,0.044806372569237043,-0.25171473409923056,0.26159856493251243,me,Tenth Avenue Freeze-Out,like
2,0.3051821898575764,0.01966394022967526,0.3008619115460556,me,Stop Draggin' My Heart Around (with Tom Petty & The Heartbreakers),like
3,-0.1130139759354448,-0.08062698111249189,0.22704667499676331,me,Blinded By The Light,like
4,-0.32213389525364083,-0.08565824388209912,0.09111233272464149,me,"Paint It, Black - (Original Single Mono Version)",like
5,0.18406602846259207,-0.46037418280765796,0.1606092529452174,me,Hurdy Gurdy Man,like
6,0.5189444522603722,-0.03645180575435856,-0.47471089190580024,me,The Times They Are A-Changin',like
7,0.030521473955808197,0.25976722163178345,-0.21941926323543334,me,Crucify Your Mind,like
8,-0.34362754652901667,0.08084323368062314,-0.2623286744981185,me,All Along the Watchtower,like
9,0.17251525322901456,-0.29945755544553815,0.09880714239008331,me,For What It's Worth,like
10,-0.17651157712800264,0.08981084520733905,-0.08094068348723625,me,Saturday in the Park - 2002 Remaster,like
11,0.9385046789927124,0.0720750308076444,-0.47514879163186297,me,"Lullabye (Goodnight, My Angel)",like
12,0.13487529672577364,-0.31985529818013947,0.5035044501869367,me,Fortunate Son,like
13,0.010570128580868128,0.3418949453445152,-0.01743406270234183,me,Sweet Emotion,like
14,-0.09371584697850548,0.11447022454025178,0.20174596873657497,me,Sweet Child O' Mine,like
15,-0.08644556419724703,-0.47550342382789745,0.21288034930293664,me,Dreams - 2004 Remaster,like
16,0.6581106533575201,0.6029704277655792,-0.0797880795135309,me,Drift Away,like
17,0.033447278968221625,0.5504450352392187,0.046646176716863115,me,Moonage Daydream - 2012 Remastered Version,like
18,-0.40519399369551723,-0.005580475478106357,0.027701341400274967,me,Take on Me,like
19,0.05157400378565254,-0.08354819163302281,-0.02219045290292,me,Rich Girl,like
20,-0.028646535947691808,0.09122399950744657,0.3814439553567254,me,Go Your Own Way,like
21,0.49885413568979214,-0.2885833872633735,0.46173481311890474,me,My Girl,like
22,-0.2725368106003632,0.3886137270674896,0.18370800746445975,me,Play That Funky Music,like
23,-0.017415590952471718,-0.33970907775400094,0.09364609390553436,me,American Girl,like
24,-0.15944539099076233,-0.26089295591100203,0.20940206756987353,me,Maria Maria (feat. The Product G&B),like
25,0.26013852496598205,-0.6912440332760749,-0.3191098991713053,me,Piano Man,like
26,0.14526107626552484,-0.04657811434378785,-0.008051470384907259,me,Levon,like
27,0.9646730788455696,0.1322869330077575,0.16124295146768947,me,Blackbird - Live / Remastered,like
28,-0.04912178191795706,-0.1548209787621097,-0.5686876605041864,me,Lights,like
29,-0.4028479355829849,0.11346415518767097,-0.35242015314464487,me,Reptilia,like
30,-0.4184463094136742,0.1991615413481285,-0.46678335320543646,me,Even Flow,like
31,-0.24421375363891762,0.0460136096298816,-0.17855649619537617,me,Lithium,like
32,-0.31441366037606755,0.303793335397404,0.03474219132438488,me,"Black, Red, Yellow",like
33,-0.1665195010585563,-0.18142450562317475,-0.48211083525400267,me,"Tonight, Tonight - Remastered 2012",like
34,0.02480823519146337,-0.39582886359942826,0.15530434457237624,me,Lake Of Fire - Live,like
35,-0.3057229556101284,-0.2712973500315594,-0.10922276736578969,me,Saint Cecilia,like
36,-0.03304513527403485,0.08658927575778909,-0.08285181494184922,me,Last Kiss,like
37,-0.2965392856624141,-0.1744549812893523,-0.46388952253531196,me,Black Hole Sun,like
38,0.24074948437709023,-0.26925874372325403,-0.33802583227886457,me,Yellow Ledbetter,like
39,-0.38630412881247844,-0.4649051625132044,0.11145807016377232,me,Smells Like Teen Spirit,like
40,0.043380303316218664,-0.44960227365074,0.17410213312613967,me,Oil and Water,like
41,-0.08757123657884724,-0.3927714507074318,0.4427839320952551,me,"Promises, Promises",like
42,-0.1473989144340897,0.1643000367464994,-0.4166854229255868,me,Doesn't Remind Me,like
43,-0.4836817766869972,0.08116974355665617,-0.1868869887199523,me,Anna Molly,like
44,-0.38464237727264583,0.07560934252329164,-0.001354018577501747,me,Spoonman,like
45,-0.2895550785703018,-0.39259875591460963,0.06235061550568854,me,Cut Me Some Slack,like
46,-0.3475194121344389,-0.08041673037328827,0.2940479671628734,me,Can't Stop,like
47,-0.2107171942163189,0.02426544073348763,-0.22754548737624994,me,Like a Stone,like
48,-0.20609990181878118,-0.0024575389037011105,-0.24930316643817388,me,Backstreets,like
49,0.03427093039469404,0.09175206857896118,0.08777348640523802,me,Simple Man,like
50,0.08703091006249208,-0.4776413871419706,-0.09155284391956915,me,The Man Who Sold The World - Live,like
51,1.1392258164519018,0.2885264842973753,0.003062424992142709,me,Dream A Little Dream,like
52,-0.1220683613814711,0.25756153480468147,-0.09360718896985691,me,Ramble On - 1990 Remaster,like
53,0.8159556500133743,0.05199972620482013,-0.4713502387745844,me,Jolene,like
54,0.5730767817527274,-0.39826763398872844,-0.17884050274470364,me,(Sittin' On) the Dock of the Bay,like
55,0.012618763119590166,0.017214570715628836,0.3239865414350052,me,La Grange - 2005 Remaster,like
56,-0.05710484185179221,0.048571436983497245,0.48304622076052606,me,"One Bourbon, One Scotch, One Beer",like
57,0.47462024903439154,0.49153162547446405,0.22095180608435055,me,Stir It Up - Original Album Version,like
58,0.4514053797486415,-0.24257064160381459,0.5244570202711407,me,Love Gonna Walk Out On Me,like
59,0.3913500484020921,-0.0533313254914533,-0.2195530770003303,me,Burn One Down,like
60,0.10193089681846754,0.3671516555206858,0.31947886401381587,me,Pressure Drop,like
